Occupational Group,W_employment,W_w_earnings,M_employment,M_w_earnings
Management ,4535000,979,6687000,1384
Business and financial operations ,2928000,885,2159000,1167
Computer and mathematical ,828000,1088,2516000,1320
Architecture and engineering ,334000,1001,2319000,1286
"Life, physical, and social science ",477000,931,603000,1156
Community and social services ,1117000,753,791000,860
Legal,693000,962,506000,1696
"Education, training, library ",4883000,818,1794000,1020
"Arts, design, entertainment, sports",689000,777,882000,951
Healthcare practitioner,4052000,909,1362000,1210
